HIP,dist (pc),Type,nexozodis (zodis),Visit #,Visit dt (years),Exp Time (days),Spec char time (days),exoEarth candidate yield,Hot Rocky yield, Warm Rocky yield, Cold Rocky yield, Hot SuperEarth yield, Warm SuperEarth yield, Cold SuperEarth yield, Hot Sub-Neptune yield, Warm Sub-Neptune yield, Cold Sub-Neptune yield,Hot Neptune yield, Warm Neptune yield, Cold Neptune yield, Hot Jupiter yield, Warm Jupiter yield, Cold Jupiter yield
50075,      22.4424,G0V,     0.445906,1,      0.00000,     0.437501,     0.492459,    0.0713199,   0.00532845,    0.0383812,  0.000571846,    0.0147393,     0.127702,    0.0932539,    0.0105308,     0.161334,     0.306744,   0.00308281,    0.0567233,     0.174108,    0.0123627,    0.0820191,     0.227917
86162,      4.54999,M3.5Vvar,      2.14840,3,    0.0628377,     0.163795,    0.0772481,    0.0266851,   0.00511708,    0.0314762,   0.00562150,   0.00590493,    0.0151098,    0.0232608,   0.00555813,   0.00872445,    0.0312398,   0.00335382,   0.00182018,    0.0175392,   0.00342743,  0.000827555,    0.0158533
33817,      14.6730,K1V,      3.93681,2,     0.232793,     0.361383,     0.206451,    0.0588019,   0.00157027,    0.0402997,   0.00475951,   0.00397299,    0.0578366,    0.0363216,   0.00378191,    0.0502499,    0.0546041,   0.00268339,    0.0151919,    0.0272071,   0.00827667,    0.0177327,    0.0280466
67155,      5.43527,M3V,      2.08174,2,    0.0559174,     0.222272,    0.0588848,    0.0360159,    0.0222664,    0.0667598,    0.0152510,    0.0160666,    0.0450872,    0.0377863,    0.0226405,    0.0318322,    0.0536880,   0.00830074,   0.00948267,    0.0276011,   0.00929366,    0.0104374,    0.0305479
8362,      10.0427,K0V,      150.180,1,      0.00000,     0.573817,     0.550528,    0.0927683,    0.0477026,    0.0362329,  0.000510192,    0.0959174,     0.144879,    0.0533749,     0.112032,     0.193989,     0.145473,    0.0293292,    0.0704265,    0.0816208,    0.0397699,    0.0966911,     0.124448
113283,      7.60815,K4Vp,      2.16107,3,     0.412874,     0.132234,   0.00601362,    0.0213566,    0.0102180,    0.0328288,    0.0122473,    0.0102441,   0.00875978,    0.0435949,    0.0147374,   0.00141896,    0.0485051,   0.00422969,  0.000587987,    0.0288533,   0.00556353,  0.000449215,    0.0295110
950,      21.6480,F3/F5V,      2.72662,1,      0.00000,     0.524248,     0.473017,    0.0844224,    0.0808745,    0.0336523,      0.00000,     0.110635,     0.134390,    0.0294516,     0.108815,     0.196197,    0.0979806,    0.0264051,    0.0710948,    0.0570567,    0.0358951,    0.0971064,    0.0893920
33277,      17.4695,G0V,      2.37051,2,     0.974046,     0.381261,     0.225394,    0.0612665,    0.0227860,    0.0427865,   0.00106021,    0.0211080,    0.0490163,    0.0408451,    0.0266130,    0.0237314,    0.0657976,   0.00686993,   0.00685948,    0.0364660,   0.00987002,   0.00755213,    0.0447490
68184,      10.0778,K3V,     0.299291,3,     0.518657,     0.155168,    0.0140671,    0.0249146,   0.00881419,    0.0328511,   0.00675464,   0.00716269,    0.0117804,    0.0414363,   0.00873186,   0.00292247,    0.0498815,   0.00394983,  0.000750365,    0.0291084,   0.00589940,  0.000412106,    0.0296965
98036,      13.3755,G8IVvar,      1.40584,3,      2.42495,     0.115731,   0.00689931,    0.0185570,    0.0396222,   0.00414954,      0.00000,    0.0234748,    0.0181176,   0.00495317,    0.0145591,    0.0133235,    0.0184713,   0.00363099,   0.00262798,   0.00867581,   0.00410417,   0.00180112,    0.0149226
111449,      22.9455,F7V,     0.967507,1,      0.00000,     0.479787,     0.410264,    0.0768851,    0.0833977,    0.0285914,  2.00958e-05,     0.112184,     0.127622,    0.0259959,     0.109548,     0.195800,    0.0911234,    0.0262246,    0.0710586,    0.0542116,    0.0354869,    0.0971620,    0.0853380
15457,      9.14571,G5Vvar,     0.532629,3,      1.09428,     0.122991,   0.00642741,    0.0195904,    0.0136466,    0.0237646,   0.00628164,   0.00837494,    0.0147117,    0.0195483,   0.00879657,    0.0149184,    0.0213461,   0.00345071,   0.00421224,    0.0129706,   0.00518094,   0.00427407,    0.0130475
114948,      20.4599,F7V,      3.49589,1,      0.00000,     0.629842,     0.722688,     0.100225,    0.0585822,    0.0534020,  0.000911746,    0.0795264,     0.146849,    0.0634430,    0.0742977,     0.192257,     0.171116,    0.0192353,    0.0685695,    0.0936891,    0.0299047,    0.0940842,     0.136197
