HIP,RA,Dec,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,M_V,dist (pc),Type,Lstar (Lsun),Angdiam (mas), Mass (Msun), WDS_sep, WDS_dmag, Detection Coronagraph ID,Characterization Coronagraph ID, EEID (mas), nexozodis (zodis),Total BB Imaging Time (days),Total Spec Char Time (days),Total EEC Yield,Total HZ Completeness
      10723.0,      34.5060,      1.75780,          NaN,      6.18800,      5.60000,      5.20000,      4.94000,      4.84700,      4.36300,      4.27800,      3.79083,      23.0056,G0.5IV,      2.64039,     0.606544,      1.31970,          NaN,          NaN,           1,           1,      70.6318,      1.15155,      3.26422,      1.45750,     0.139945,     0.564109
      10798.0,      34.7438,     -25.9457,          NaN,      7.05400,      6.33000,          NaN,      5.50000,      5.05600,      4.69400,      4.55100,      5.78811,      12.8344,G8V,     0.450601,     0.510474,     0.796312,          NaN,          NaN,           1,           1,      52.3023,      9.16315,      2.71674,      1.61132,     0.206070,     0.830654
      12114.0,      39.0204,      6.88687,          NaN,      6.70800,      5.79000,      5.20000,      4.73000,      4.15000,      3.66000,      3.52000,      6.49267,      7.23545,K3V,     0.269375,     0.852993,     0.687456,      1.70000,      10.8400,           1,           1,      71.7320,     0.258520,      1.02996,    0.0560713,     0.246513,     0.993675
      12653.0,      40.6394,     -50.8003,          NaN,      5.96100,      5.40000,      5.40000,      4.78000,      4.75000,      4.32000,      4.13800,      4.20642,      17.3267,G3IV,      1.78949,     0.644296,      1.18089,          NaN,          NaN,           1,           1,      77.2056,      2.92922,      3.29779,      1.58425,     0.203065,     0.818538
      12777.0,      41.0499,      49.2284,      4.62000,      4.61400,      4.10000,      3.67000,      3.51000,      3.34000,      3.07000,      2.78000,      3.86385,      11.1488,F7V,      2.40544,      1.10928,      1.28503,      19.9000,      5.84000,           3,           1,      139.113,      2.17284,      1.66181,     0.312668,     0.218576,     0.881065
      12843.0,      41.2758,     -18.5726,      4.94000,      4.95100,      4.47000,      4.03000,      3.93000,      3.58000,      3.35000,      3.32000,      3.71848,      14.1353,F5/F6V,      2.71765,     0.899443,      1.33062,          NaN,          NaN,           3,           1,      116.625,      4.46484,      2.45423,     0.728810,     0.200125,     0.806687
      14150.0,      45.6084,      26.6092,          NaN,      7.31600,      6.62000,      6.20000,      5.87000,      5.34000,      5.02400,      4.95100,      4.98764,      21.2066,G8V,     0.918024,     0.431448,     0.975859,          NaN,          NaN,           1,           1,      45.1810,      1.23654,      1.99928,      1.46494,    0.0844489,     0.340407
      14632.0,      47.2668,      49.6133,      4.76000,      4.64500,      4.05000,      3.70000,      3.40000,      3.14000,      2.88000,      2.64000,      3.94224,      10.5088,G0V,      2.30508,      1.24864,      1.26948,      154.400,      8.35000,           3,           1,      144.474,     0.497077,      1.53729,     0.173343,     0.223790,     0.902078
      15330.0,      49.4423,     -62.5753,      6.24000,      6.17100,      5.53000,      5.00000,      4.81000,      4.41000,      4.07000,      4.00000,      5.12703,      12.0391,G2V,     0.785748,     0.666933,     0.933428,      309.200,    -0.270000,           1,           1,      73.6288,      4.51998,      2.33789,     0.618380,     0.236494,     0.953291
      15371.0,      49.5534,     -62.5064,          NaN,      5.84000,      5.24000,          NaN,      4.57000,      4.27000,      3.87400,      3.86000,      4.83571,      12.0464,G1V,      1.01529,     0.726099,      1.00434,      0.00000,          NaN,           1,           1,      83.6446,     0.622423,      1.90132,     0.297208,     0.242768,     0.978581
