HIP,vmag,dist (pc),Type,EEID (mas),nexozodis (zodis),Detection Coronagraph ID,Characterization Coronagraph ID,Total BB Imaging Time (days),Total Spec Char Time (days),Total EEC Yield,Total HZ Completeness
      86796.0,      5.12000,      15.6051,G5V,      90.0649,      1.91554,           3,           1,      1.65736,     0.540046,     0.227959,     0.918887
      88574.0,      9.37000,      7.72844,M2V,      26.2334,      2.22439,           1,           4,      1.73435,      1.67065,     0.143634,     0.578979
      88601.0,      4.03000,      5.08337,K0VSB,      158.273,     0.566875,           3,           3,     0.808562,    0.0341127,     0.238665,     0.962041
      88694.0,      5.94000,      17.2041,G3V,      60.8112,      2.92575,           2,           1,      2.13569,     0.759759,     0.219662,     0.885440
      88745.0,      5.05000,      15.7392,F7V,      90.1116,      5.50406,           3,           1,      1.91208,     0.781173,     0.223698,     0.901711
      88972.0,      6.38000,      11.0955,K2V,      53.9016,      2.59329,           2,           1,      1.36461,     0.170109,     0.245310,     0.988826
      89042.0,      5.47000,      17.7532,G0V,      75.0646,      4.75319,           2,           1,      3.47324,      1.19816,     0.227257,     0.916057
      89348.0,      4.99000,      22.8482,F5V,      91.4184,      4.41202,           3,           1,      1.99810,     0.981600,     0.137130,     0.552761
      91768.0,      8.94000,      3.52176,K5,      31.5457,      1.50178,           1,           4,      1.31050,     0.215276,     0.247673,     0.998351
      91772.0,      9.70000,      3.52283,K5,      26.7415,      150.968,           1,           4,      2.03844,     0.362028,     0.215709,     0.869505
      92403.0,      10.3700,      2.97510,M3.5Ve,      16.6650,      2.97807,           4,           4,      2.16713,     0.167903,     0.189942,     0.765640
      93966.0,      6.08000,      21.3505,G5V,      58.2384,      4.04139,           2,           1,      2.54205,     0.981558,     0.165140,     0.665667
      94761.0,      9.12000,      5.91160,M3.5V,      25.9809,      7.28031,           1,           4,      1.65970,      1.35696,     0.232552,     0.937398
      95149.0,      6.48000,      19.8861,G1/G2V,      47.5048,      2.80796,           2,           1,      2.04685,      1.31934,     0.163333,     0.658382
      95319.0,      6.37000,      15.6098,G8V,      52.6011,      10.9782,           2,           1,      2.23575,      1.14235,     0.192985,     0.777908
