HIP,dist (pc),Type,nexozodis (zodis),Visit #,Visit dt (years),Exp Time (days),Spec char time (days),exoEarth candidate yield,Hot Rocky yield, Warm Rocky yield, Cold Rocky yield, Hot SuperEarth yield, Warm SuperEarth yield, Cold SuperEarth yield, Hot Sub-Neptune yield, Warm Sub-Neptune yield, Cold Sub-Neptune yield,Hot Neptune yield, Warm Neptune yield, Cold Neptune yield, Hot Jupiter yield, Warm Jupiter yield, Cold Jupiter yield
95501,      15.5255,F0IV,      10.2654,2,      1.94858,     0.221029,    0.0670260,    0.0182845,    0.0376351,  0.000212682,      0.00000,    0.0643210,    0.0417394,   0.00840994,    0.0447993,    0.0390232,    0.0473668,   0.00645571,   0.00666532,    0.0285660,   0.00490603,   0.00393625,    0.0431077
57443,      9.29187,G3/G5V,      4.81943,3,      1.28264,     0.219041,    0.0239264,    0.0174293,    0.0464871,    0.0217803,   0.00332676,    0.0212766,    0.0151204,    0.0269309,    0.0113525,   0.00117797,    0.0468809,   0.00152077,  0.000350752,    0.0263071,   0.00166122,  0.000251560,    0.0287624
15371,      12.0464,G1V,     0.622423,3,     0.975144,     0.252045,    0.0318288,    0.0200226,    0.0518687,    0.0196572,   0.00324334,    0.0197608,   0.00812153,    0.0206638,    0.0124054,   0.00105107,    0.0288345,   0.00190907,  0.000355664,    0.0171074,   0.00191219,  0.000370532,    0.0191096
10723,      23.0056,G0.5IV,      1.15155,2,      1.34010,     0.479318,     0.340996,    0.0380623,    0.0365438,   0.00925646,  2.41149e-05,    0.0500791,    0.0563572,    0.0216385,    0.0389885,    0.0283691,    0.0694334,   0.00674093,   0.00537011,    0.0346984,   0.00562243,   0.00417038,    0.0418739
48331,      11.2847,K5V,      2.41223,3,     0.431689,     0.299634,     0.256364,    0.0237422,   0.00657146,    0.0164442,   0.00156723,    0.0163920,    0.0210108,    0.0254621,    0.0149048,    0.0124924,    0.0183531,   0.00310192,   0.00289234,    0.0111625,   0.00291806,   0.00274937,   0.00748808
70890,      1.30124,M5Ve,      2.42113,4,    0.0509817,     0.128355,   0.00522298,    0.0101397,   0.00304274,    0.0162898,    0.0254987,   0.00746950,   0.00533890,    0.0366248,   0.00515115,   0.00494164,    0.0283711,  0.000967119,   0.00185987,    0.0201420,   0.00105382,   0.00200980,    0.0116286
102409,      9.72484,M1Ve,      1.62483,1,      0.00000,     0.344928,     0.264510,    0.0272233,      0.00000,   0.00624404,      0.00000,    0.0360654,     0.115064,     0.114031,    0.0671294,     0.176698,     0.495741,    0.0145892,    0.0645202,     0.346437,    0.0158600,    0.0893531,     0.385468
100925,      19.3089,G6/G8V,      2.09224,2,     0.771787,     0.330348,     0.369749,    0.0260546,   0.00801828,   0.00657847,  7.20032e-05,    0.0376155,    0.0523529,    0.0360910,    0.0376057,    0.0282649,    0.0937728,   0.00694258,   0.00702410,    0.0413896,   0.00629376,   0.00636952,    0.0343613
23941,      25.1211,F2V,      1.23376,1,      0.00000,     0.606277,     0.436465,    0.0476253,    0.0976457,   0.00926855,  2.00958e-05,     0.214237,     0.110965,    0.0204628,     0.246509,     0.197415,    0.0992747,    0.0490028,    0.0736491,    0.0623699,    0.0515978,     0.101118,     0.107899
22263,      13.2413,G3V,      1.40864,3,     0.883961,     0.285693,    0.0527016,    0.0223245,    0.0410755,    0.0170874,   0.00101283,    0.0220918,   0.00837481,    0.0149008,    0.0143578,   0.00133213,    0.0165100,   0.00200404,  0.000475734,    0.0118958,   0.00172943,  0.000495797,    0.0132574
36208,      3.80257,M5,      139.672,1,      0.00000,     0.346999,     0.254499,    0.0268697,      0.00000,   0.00970433,      0.00000,    0.0203302,     0.112447,     0.243599,    0.0394747,     0.168668,     0.833117,   0.00724459,    0.0615323,     0.670859,   0.00794517,    0.0858124,     0.586184
46509,      17.7639,F6V,      12.1900,2,      1.50693,     0.581373,     0.531575,    0.0448456,    0.0258873,   0.00830850,      0.00000,    0.0481071,    0.0572869,    0.0252212,    0.0413271,    0.0306003,    0.0781141,   0.00741462,   0.00624090,    0.0444206,   0.00673387,   0.00457380,    0.0423300
72848,      11.3752,K2V,     0.875574,3,     0.747367,     0.239088,    0.0285738,    0.0184028,    0.0400150,    0.0169620,   0.00331339,    0.0217837,   0.00765251,    0.0191546,    0.0130416,   0.00344446,    0.0185247,   0.00234353,   0.00111675,    0.0120436,   0.00217836,  0.000937507,    0.0115422
105090,      3.97094,M1/M2V,      10.7658,3,     0.235814,     0.128582,   0.00159306,   0.00986313,    0.0388437,    0.0144028,   0.00822235,    0.0199940,   0.00419053,    0.0182301,    0.0121395,   0.00254037,    0.0190890,   0.00196406,  0.000912101,    0.0124204,   0.00189016,  0.000695799,    0.0108207
41926,      12.1818,K0V,      5.84417,3,     0.642811,     0.336222,     0.157007,    0.0257670,    0.0274007,    0.0140008,   0.00204446,    0.0245736,    0.0110667,    0.0198664,    0.0130938,   0.00540133,    0.0179242,   0.00272256,   0.00157210,    0.0105064,   0.00242117,   0.00146024,    0.0103537
71181,      13.2434,K3V,      2.12380,3,     0.559655,     0.271472,     0.246211,    0.0207961,   0.00594192,    0.0118059,  0.000288998,    0.0151732,    0.0191403,    0.0165360,    0.0138399,    0.0113696,    0.0157544,   0.00280149,   0.00260131,   0.00944411,   0.00264583,   0.00250764,   0.00714738
64394,      9.18315,G0V,      2.70214,3,      1.22643,     0.234398,    0.0214238,    0.0179168,    0.0502035,    0.0211840,   0.00358889,    0.0214149,   0.00892535,    0.0210965,    0.0154936,   0.00180695,    0.0262376,   0.00231849,  0.000430625,    0.0175908,   0.00191735,  0.000354742,    0.0149161
86201,      23.2522,F5V,      2.09441,2,      1.68108,     0.480874,     0.262632,    0.0367018,    0.0537499,   0.00479008,      0.00000,    0.0632972,    0.0533171,    0.0103957,    0.0404809,    0.0354700,    0.0444097,   0.00578982,   0.00624084,    0.0267516,   0.00503927,   0.00381244,    0.0409405
83389,      18.2937,G8V,      2.85091,2,     0.665199,     0.322504,     0.369819,    0.0246105,   0.00572230,   0.00771942,  0.000112014,    0.0348678,    0.0557648,    0.0434828,    0.0380105,    0.0292691,    0.0967861,   0.00690375,   0.00746774,    0.0427523,   0.00650073,   0.00696839,    0.0334213
4151,      18.8007,F8V,      8.15501,2,      1.30120,     0.449164,     0.262156,    0.0342669,    0.0384726,   0.00378385,      0.00000,    0.0566490,    0.0490361,    0.0107652,    0.0383125,    0.0313794,    0.0443181,   0.00556526,   0.00565807,    0.0267544,   0.00491590,   0.00356513,    0.0394855
80686,      12.1768,F9V,    0.0680988,3,      1.54855,     0.248939,    0.0304085,    0.0189858,    0.0458130,    0.0219692,   0.00223063,    0.0197472,    0.0139528,    0.0254373,    0.0112527,  0.000934771,    0.0428533,   0.00171635,  0.000173148,    0.0240636,   0.00160551,  0.000176212,    0.0282580
39157,      17.1001,G8V,      2.39036,1,      0.00000,     0.304171,     0.382695,    0.0231921,   0.00792696,    0.0125592,      0.00000,    0.0796134,     0.125694,     0.107239,     0.113422,     0.188462,     0.424676,    0.0254337,    0.0687850,     0.268469,    0.0276585,    0.0946116,     0.323928
3810,      23.2305,F8V...,      2.85995,1,      0.00000,     0.584122,     0.487963,    0.0442892,    0.0828865,   0.00616665,  2.00958e-05,     0.211570,     0.107054,    0.0188249,     0.248087,     0.196193,    0.0906765,    0.0493755,    0.0733480,    0.0587254,    0.0520493,     0.101128,     0.103072
95319,      15.6098,G8V,      10.9782,2,     0.585022,     0.381932,     0.339331,    0.0289202,   0.00922374,   0.00421527,  9.56358e-05,    0.0357123,    0.0526969,    0.0298166,    0.0354895,    0.0297858,    0.0778440,   0.00720370,   0.00628661,    0.0359591,   0.00633872,   0.00524025,    0.0329203
109422,      18.3527,F6V,      10.7347,2,      1.15357,     0.469116,     0.320803,    0.0355146,    0.0380043,   0.00386475,  2.50795e-05,    0.0576224,    0.0519989,    0.0126246,    0.0391955,    0.0310035,    0.0489796,   0.00572294,   0.00589882,    0.0277285,   0.00510676,   0.00377969,    0.0380495
78072,      11.1782,F6V,      7.02951,3,      2.46459,     0.268449,    0.0555794,    0.0203195,    0.0453951,    0.0160191,  5.02395e-07,    0.0251601,    0.0148881,    0.0247673,    0.0164905,  0.000923058,    0.0499358,   0.00231346,  0.000305175,    0.0267233,   0.00160643,  0.000199964,    0.0239452
7513,      13.4100,F8V,      2.21254,3,      2.71062,     0.277296,    0.0484608,    0.0209659,    0.0388215,    0.0123783,      0.00000,    0.0267317,    0.0166016,    0.0224804,    0.0179595,   0.00127268,    0.0467770,   0.00259310,  0.000404029,    0.0245869,   0.00187283,  0.000267945,    0.0214523
