HIP,RA,Dec,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,M_V,dist (pc),Type,Lstar (Lsun),Angdiam (mas), Mass (Msun), WDS_sep, WDS_dmag, Detection Coronagraph ID,Characterization Coronagraph ID, EEID (mas),nexozodis (zodis),Total BB Imaging Time (days),Total Spec Char Time (days),Total EEC Yield,Total HZ Completeness
107975,328.125,28.7935,5.82,5.946,5.52,          NaN,5.03,4.63,4.441,4.332,3.35294,27.1276,F6IVwvar,3.77938,0.518599,1.4621,          NaN,          NaN,2,1,71.6637,1.03356,3.38726,1.43056,0.165593,0.667494
108036,328.324,-13.5518,          NaN,5.458,5.08,          NaN,4.65,4.299,4.062,4.18,2.9183,27.0607,F3IV,5.54132,0.597459,1.63103,          NaN,          NaN,3,1,86.9896,0.41718,1.39448,0.524136,0.0982499,0.396038
108870,330.84,-56.786,          NaN,5.746,4.69,          NaN,3.54,2.894,2.349,2.237,6.88512,3.63895,K5V,0.221489,1.77164,0.650066,403.1,11.76,3,2,129.33,41.2435,0.632977,0.0287172,0.248014,0.999726
109176,331.753,25.3451,4.19,4.205,3.77,3.36,3.26,2.95,2.73,2.5,3.41105,11.7975,F5V,3.57953,1.17403,1.43958,127.2,7.45,3,2,160.37,0.963083,0.663862,0.117174,0.187584,0.756137
109422,332.537,-32.5484,          NaN,5.429,4.94,          NaN,4.4,3.93,3.639,3.704,3.6215,18.3527,F6V,2.97901,0.731364,1.366,          NaN,          NaN,3,1,94.0451,10.7347,2.44214,1.25818,0.178466,0.719384
109821,333.661,-41.3817,7.02,6.878,6.23,          NaN,5.53,5.095,4.76,4.662,4.48105,22.3764,G5V,1.42442,0.487205,1.10636,          NaN,          NaN,2,1,53.337,0.758687,2.50734,1.11706,0.191628,0.772436
110649,336.235,-57.7974,6.09,5.975,5.31,4.79,4.58,4.14,3.79,3.74,3.7561,20.454,F9V,2.81108,0.759575,1.34354,24,7.68,2,1,81.9706,1.90272,2.90746,0.74654,0.195257,0.787067
111449,338.673,-20.7082,          NaN,5.656,5.21,          NaN,4.72,4.532,4.266,4.33,3.40652,22.9455,F7V,3.59519,0.613134,1.44138,          NaN,          NaN,2,1,82.6349,0.967507,2.79271,1.12452,0.18211,0.734071
111802,339.69,-20.6211,11.714,10.526,9.06,8.073,6.85,5.669,5.108,4.8,9.31319,8.89942,M0Vpe,0.056963,0.573276,0.441017,24.5,2.36,1,4,26.8185,1.85114,1.63424,1.55952,0.128339,0.517326
112447,341.673,12.1729,4.66,4.701,4.2,3.73,3.6,3.22,3.078,2.87,3.1759,16.0258,F7V,4.50934,1.04315,1.53776,11.1,8.2,3,2,132.506,10.5719,1.35377,0.419129,0.150999,0.608667
113020,343.32,-14.2637,12.928,11.757,10.16,9.013,7.39,5.934,5.349,5.01,11.8107,4.67581,M5,0.0124362,0.487302,0.285512,          NaN,          NaN,1,4,23.8499,2.54274,1.89815,0.564816,0.217116,0.875177
113283,344.1,-31.5656,          NaN,7.574,6.48,          NaN,5.28,4.533,3.804,3.805,7.0736,7.60815,K4Vp,0.194743,0.831635,0.626598,999.9,-5.35,2,1,58.0032,2.16107,1.10668,0.0513762,0.247412,0.997299
113296,344.145,16.5534,11.323,10.187,8.68,7.657,6.58,5.36,4.8,4.523,9.49597,6.86763,M2:,0.0608652,0.758644,0.449445,          NaN,          NaN,1,1,35.9234,2.51759,1.85636,0.235818,0.127369,0.513415
113357,344.367,20.7688,6.39,6.116,5.45,4.97,4.76,4.66,4.23,3.911,4.5028,15.4682,G5V,1.4142,0.713008,1.10409,2.9,10,2,1,76.8804,18.7782,3.37235,1.64304,0.206824,0.833694
114046,346.467,-35.8531,          NaN,8.833,7.35,          NaN,5.33,4.34,3.61,3.46,9.76593,3.28711,M2/M3V,0.0403402,1.31574,0.399613,          NaN,          NaN,2,1,61.1019,5.65907,0.955475,0.0196993,0.248049,0.999868
114430,347.613,43.5442,          NaN,6.36,5.91,5.6,5.39,5.147,4.738,4.674,3.70174,27.6472,F5IV,2.74066,0.446356,1.33383,          NaN,          NaN,2,1,59.8793,1.87735,3.66798,2.14354,0.159097,0.641307
114924,349.176,53.2135,          NaN,6.136,5.58,5.2,4.95,4.871,4.599,4.306,4.0159,20.5503,F7V,2.12931,0.589569,1.24103,149.4,7.77,2,1,71.007,6.1129,3.42196,1.7901,0.191139,0.770468
114948,349.24,-62.0012,          NaN,6.161,5.64,          NaN,5.05,5.1,4.606,4.437,4.08548,20.4599,F7V,1.96747,0.550349,1.21332,          NaN,          NaN,2,1,68.5568,3.49589,3.36364,1.7828,0.209542,0.844647
116085,352.843,59.1655,          NaN,7.599,6.76,6.2,5.91,5.346,4.975,4.797,5.62354,16.8768,K2V,0.564114,0.48694,0.849106,          NaN,          NaN,2,1,44.5034,2.56396,1.8191,0.945903,0.16881,0.680459
116613,354.494,46.1994,7.4,7.245,6.58,6.2,5.85,5.406,5.123,5.076,4.78641,22.8411,G5,1.0883,0.423225,1.02447,          NaN,          NaN,2,1,45.6728,1.49749,1.90568,1.06604,0.117994,0.475625
116771,354.988,5.62629,4.64,4.637,4.13,3.68,3.54,3.299,2.988,2.75,3.48917,13.4328,F7V,3.38693,1.08503,1.41701,122.6,9.92,3,2,137.005,10.6424,1.26047,0.396751,0.187663,0.756455
117473,357.302,2.40122,11.532,10.44,8.98,8.029,6.94,5.827,5.282,5.043,10.124,5.90463,M2V,0.0263418,0.585833,0.353798,          NaN,          NaN,1,4,27.4872,4.9293,1.44479,1.53984,0.229576,0.925402
117712,358.105,75.5446,          NaN,7.337,6.36,5.8,5.26,4.88,4.29,4.15,6.17127,10.908,K3V,0.388396,0.719068,0.76322,3,4.91,2,1,57.1337,0.210893,1.67457,0.400334,0.233113,0.939661
